Date,Open,High,Low,Close,TotalVolume
2007/07/03,0.0,0.0,-7244.0,-7244.0,0.0
2007/07/04,0.0,0.0,-10093.0,-10093.0,0.0
2007/07/05,0.0,0.0,-11282.0,-11282.0,0.0
2007/07/06,0.0,0.0,-11925.0,-11925.0,0.0
2007/07/09,0.0,0.0,-11416.0,-11416.0,0.0
2007/07/10,0.0,0.0,-17011.0,-17011.0,0.0
2007/07/11,0.0,0.0,-18722.0,-18722.0,0.0
2007/07/12,0.0,0.0,-15571.0,-15571.0,0.0
2007/07/13,0.0,0.0,-16151.0,-16151.0,0.0
2007/07/16,0.0,0.0,-18104.0,-18104.0,0.0
2007/07/17,0.0,0.0,-20001.0,-20001.0,0.0
2007/07/18,0.0,0.0,-22226.0,-22226.0,0.0
2007/07/19,0.0,0.0,-4600.0,-4600.0,0.0
2007/07/20,0.0,0.0,-706.0,-706.0,0.0
2007/07/23,0.0,0.0,-5944.0,-5944.0,0.0
2007/07/24,0.0,0.0,-6732.0,-6732.0,0.0
2007/07/25,0.0,0.0,-12411.0,-12411.0,0.0
2007/07/26,0.0,0.0,-17413.0,-17413.0,0.0
2007/07/27,0.0,0.0,-25110.0,-25110.0,0.0
2007/07/30,0.0,0.0,-23687.0,-23687.0,0.0
2007/07/31,0.0,0.0,-15121.0,-15121.0,0.0
2007/08/01,0.0,0.0,-16939.0,-16939.0,0.0
2007/08/02,0.0,0.0,-13274.0,-13274.0,0.0
2007/08/03,0.0,0.0,-10507.0,-10507.0,0.0
2007/08/06,0.0,0.0,-12650.0,-12650.0,0.0
2007/08/07,0.0,0.0,-12049.0,-12049.0,0.0
2007/08/08,0.0,0.0,-9276.0,-9276.0,0.0
2007/08/09,0.0,0.0,-5761.0,-5761.0,0.0
2007/08/10,0.0,0.0,-7784.0,-7784.0,0.0
2007/08/13,0.0,0.0,-6371.0,-6371.0,0.0
2007/08/14,0.0,0.0,-8745.0,-8745.0,0.0
2007/08/15,0.0,0.0,-8594.0,-8594.0,0.0
2007/08/16,0.0,0.0,-13133.0,-13133.0,0.0
2007/08/17,0.0,0.0,-16719.0,-16719.0,0.0
2007/08/20,0.0,0.0,-10686.0,-10686.0,0.0
2007/08/21,0.0,0.0,-9290.0,-9290.0,0.0
2007/08/22,0.0,0.0,-9070.0,-9070.0,0.0
2007/08/23,0.0,0.0,-5911.0,-5911.0,0.0
2007/08/24,0.0,0.0,-3630.0,-3630.0,0.0
2007/08/27,0.0,0.0,-123.0,-123.0,0.0
2007/08/28,0.0,688.0,0.0,688.0,0.0
2007/08/29,0.0,0.0,-2529.0,-2529.0,0.0
2007/08/30,0.0,0.0,-865.0,-865.0,0.0
2007/08/31,0.0,820.0,0.0,820.0,0.0
2007/09/03,0.0,0.0,-1112.0,-1112.0,0.0
2007/09/04,0.0,0.0,-433.0,-433.0,0.0
2007/09/05,0.0,0.0,-1305.0,-1305.0,0.0
2007/09/06,0.0,0.0,-1853.0,-1853.0,0.0
2007/09/07,0.0,0.0,-1661.0,-1661.0,0.0
2007/09/10,0.0,0.0,-1708.0,-1708.0,0.0
2007/09/11,0.0,0.0,-99.0,-99.0,0.0
2007/09/12,0.0,181.0,0.0,181.0,0.0
2007/09/13,0.0,1012.0,0.0,1012.0,0.0
2007/09/14,0.0,0.0,-638.0,-638.0,0.0
2007/09/17,0.0,0.0,-3643.0,-3643.0,0.0
2007/09/19,0.0,0.0,-2308.0,-2308.0,0.0
2007/09/20,0.0,1072.0,0.0,1072.0,0.0
2007/09/21,0.0,405.0,0.0,405.0,0.0
2007/09/26,0.0,129.0,0.0,129.0,0.0
2007/09/27,0.0,1326.0,0.0,1326.0,0.0
2007/09/28,0.0,1724.0,0.0,1724.0,0.0
2007/09/29,0.0,1929.0,0.0,1929.0,0.0
2007/10/01,0.0,1470.0,0.0,1470.0,0.0
2007/10/02,0.0,1134.0,0.0,1134.0,0.0
2007/10/03,0.0,72.0,0.0,72.0,0.0
2007/10/04,0.0,0.0,-7014.0,-7014.0,0.0
2007/10/05,0.0,0.0,-8280.0,-8280.0,0.0
2007/10/08,0.0,0.0,-7961.0,-7961.0,0.0
2007/10/09,0.0,0.0,-7863.0,-7863.0,0.0
2007/10/11,0.0,0.0,-8220.0,-8220.0,0.0
2007/10/12,0.0,0.0,-7013.0,-7013.0,0.0
2007/10/15,0.0,0.0,-4467.0,-4467.0,0.0
