Date,symbol,Open,High,Low,Last,Volume
2016/9/21,MTX,9122,9223,9115,9222,42470
2016/9/20,MTX,9150,9165,9113,9142,54501
2016/9/19,MTX,8940,9157,8935,9149,83499
2016/9/14,MTX,8870,8942,8854,8875,84465
2016/9/13,MTX,8971,8978,8817,8905,117848
2016/9/12,MTX,8984,8993,8898,8900,91532
2016/9/10,MTX,8935,9001,8922,8953,59217
2016/9/9,MTX,9188,9189,9114,9126,91315
2016/9/8,MTX,9253,9253,9215,9239,54857
2016/9/7,MTX,9158,9262,9151,9253,73286
2016/9/6,MTX,9073,9160,9056,9151,75084
2016/9/5,MTX,8991,9066,8991,9063,76021
2016/9/2,MTX,8945,8973,8904,8932,88797
2016/9/1,MTX,8976,8981,8883,8942,116651
2016/8/31,MTX,9020,9059,8959,8976,99505
2016/8/30,MTX,9074,9085,9021,9035,80457
2016/8/29,MTX,9050,9075,8948,9042,109024
2016/8/26,MTX,9059,9090,9036,9080,64246
2016/8/25,MTX,8939,9073,8938,9070,91622
2016/8/24,MTX,9005,9022,8948,8954,71031
2016/8/23,MTX,8920,8987,8912,8983,75551
2016/8/22,MTX,8938,8948,8852,8895,103107
2016/8/19,MTX,9052,9108,8942,8948,132659
2016/8/18,MTX,9012,9059,8981,9041,78305
2016/8/17,MTX,9075,9123,9067,9121,42390
2016/8/16,MTX,9155,9155,9053,9085,86960
2016/8/15,MTX,9143,9160,9087,9124,69260
2016/8/12,MTX,9130,9149,9102,9130,73850
2016/8/11,MTX,9124,9158,9000,9087,112994
2016/8/10,MTX,9135,9167,9090,9149,82948
2016/8/9,MTX,9120,9145,9096,9117,68735
2016/8/8,MTX,9135,9147,9063,9116,80792
2016/8/5,MTX,8992,9074,8973,9062,90645
2016/8/4,MTX,8988,8995,8892,8970,97287
2016/8/3,MTX,8921,8972,8861,8935,93333
2016/8/2,MTX,9015,9036,8992,9012,62790
2016/8/1,MTX,8936,9043,8936,9040,86128
2016/7/29,MTX,9004,9014,8890,8894,114600
2016/7/28,MTX,8979,9026,8927,8979,94495
2016/7/27,MTX,9015,9049,8952,8979,104315
2016/7/26,MTX,8868,8970,8862,8965,90233
2016/7/25,MTX,8964,9027,8804,8891,122995
2016/7/22,MTX,8964,8984,8925,8927,82092
2016/7/21,MTX,8920,9009,8915,8984,79679
2016/7/20,MTX,9010,9042,8972,9004,50926
2016/7/19,MTX,9012,9036,8962,9032,68177
2016/7/18,MTX,8916,9002,8912,8999,59284
2016/7/15,MTX,8848,8924,8823,8912,80900
2016/7/14,MTX,8801,8841,8769,8813,73870
2016/7/13,MTX,8829,8837,8726,8793,96489
2016/7/12,MTX,8750,8795,8736,8776,66668
2016/7/11,MTX,8678,8748,8671,8734,77015
2016/7/7,MTX,8502,8570,8502,8561,70913
2016/7/6,MTX,8555,8558,8443,8469,108352
2016/7/5,MTX,8595,8634,8568,8610,74669
2016/7/4,MTX,8639,8680,8598,8632,79353
2016/7/1,MTX,8570,8637,8552,8623,93275
2016/6/30,MTX,8495,8541,8440,8519,113252
2016/6/29,MTX,8392,8493,8391,8436,95634
2016/6/28,MTX,8277,8387,8260,8376,93264
2016/6/27,MTX,8245,8338,8239,8326,92310
2016/6/24,MTX,8501,8552,8140,8238,258170
2016/6/23,MTX,8510,8526,8466,8510,63669
2016/6/22,MTX,8510,8530,8460,8510,80713
2016/6/21,MTX,8453,8524,8435,8510,79218
2016/6/20,MTX,8503,8520,8428,8469,85445
2016/6/17,MTX,8345,8431,8343,8395,95437
2016/6/16,MTX,8409,8410,8248,8281,117992
2016/6/15,MTX,8560,8608,8508,8603,53104
2016/6/14,MTX,8495,8578,8483,8574,65544
2016/6/13,MTX,8638,8639,8502,8525,88785
2016/6/8,MTX,8676,8742,8670,8713,82104
2016/6/7,MTX,8610,8684,8606,8667,84725
2016/6/6,MTX,8576,8655,8508,8573,94470
2016/6/4,MTX,8567,8589,8561,8577,20253
2016/6/3,MTX,8563,8585,8537,8565,65106
2016/6/2,MTX,8565,8610,8519,8550,95897
2016/6/1,MTX,8493,8590,8485,8564,86480
2016/5/31,MTX,8498,8544,8455,8510,89371
2016/5/30,MTX,8480,8533,8432,8509,84681
2016/5/27,MTX,8414,8467,8390,8462,76788
2016/5/26,MTX,8402,8408,8352,8383,65284
2016/5/25,MTX,8340,8412,8333,8384,92518
